0:3681,48152,36458,56138,33581,
1:18879,76270,4168,3075,6942,
2:39252,79787,32841,14656,67920,
3:47571,34323,58792,52013,36715,
4:38124,62106,24186,21346,91533,
5:90192,28675,33913,9853,9154,
6:13598,72678,59806,8456,56470,
7:7342,65607,95458,45836,35803,
8:22856,29375,79665,66420,61106,
9:40299,23547,56033,36214,67717,
10:34537,33579,28470,49730,2496,
11:91468,26803,40532,47065,93629,
12:50164,27205,56126,3127,3466,
13:17959,37430,4860,51458,47545,
14:36657,84294,1399,42367,71671,
15:17637,29829,56818,44328,66315,
16:15119,83497,21190,94090,96623,
17:58996,50239,87473,23626,36781,
18:44610,73941,51574,1094,92176,
19:93462,46830,76364,97256,2194,
20:73314,44228,36431,54891,96933,
21:91034,25574,72717,46119,19264,
22:91082,26903,46034,20960,9441,
23:88196,34334,83536,98835,70504,
24:17923,9693,72416,60460,78517,
25:46807,42512,14221,18846,74469,
26:39240,94712,71777,38805,85826,
27:58186,56904,68926,82478,40492,
28:79660,58899,62012,40742,43312,
29:71497,44208,41522,43061,28135,
30:3188,67426,81639,71491,94542,
31:39241,18644,93870,82231,47807,
32:29636,91113,48487,93558,34649,
33:45933,14679,46866,29196,11914,
34:9765,82600,16330,22342,69764,
35:5655,82146,87828,4727,73606,
36:46122,72462,67925,69573,32767,
37:64421,4853,22551,85669,72152,
38:19300,37116,17193,57076,80295,
39:20686,11567,50007,99752,85862,
40:28757,11483,75271,27840,9022,
41:1462,90471,97246,818,24810,
42:48742,65493,88418,141,82547,
43:28751,54080,67983,38351,18766,
44:11023,12391,68104,49184,55821,
45:33549,73538,75911,26973,77829,
46:9980,74361,61244,24631,244,
47:95395,72462,13708,25451,96702,
48:24114,67803,39635,32267,88458,
49:2860,43507,69368,37318,56821,
50:70450,62817,92835,736,35402,
51:45836,46040,35803,7,40323,
52:81742,57271,12865,24674,5714,
53:44692,96551,41989,82624,74095,
54:4918,43030,66396,25466,94168,
55:78308,80595,86620,43356,11523,
56:63552,92944,87143,98944,82759,
57:62498,14657,9913,56768,53788,
58:85431,4917,73036,96090,55045,
59:59761,22277,62430,16704,55461,
60:76645,8976,28830,71156,85475,
61:27451,55546,68350,896,69355,
62:47813,37905,81445,92878,51236,
63:84647,67226,53212,54328,2322,
64:62422,83682,25576,24934,64846,
65:70854,25395,68937,81113,16680,
66:75724,70806,18677,12486,79288,
67:24648,14039,88201,83039,63268,
68:9516,61130,98976,87791,2901,
69:43140,83466,69632,77838,35578,
70:72416,69902,42515,68978,51186,
71:12899,44665,92240,89380,85867,
72:79353,60302,3479,87046,95009,
73:17954,3351,76900,50985,21006,
74:37017,1716,61271,80626,82335,
75:98780,6718,71120,263,14423,
76:41727,28712,91844,98374,58026,
77:92833,96795,19462,65301,97752,
78:67317,30344,23789,95582,52094,
79:48993,26742,81372,45913,45212,
80:58002,7966,7980,82371,57598,
81:14937,6532,40764,19475,35596,
82:20091,99079,88511,90382,28941,
83:74840,26872,40995,37153,95495,
84:49320,67956,3982,26989,80567,
85:22406,36520,6847,29245,70320,
86:5128,75108,38580,14113,39832,
87:8984,88519,27388,85248,5867,
88:34109,41305,68100,28994,19077,
89:68770,33096,3853,73444,21520,
90:1200,69796,3682,71622,57044,
91:23514,5950,26609,76830,3247,
92:17528,67916,99268,5730,18187,
93:28063,68825,14179,10007,82891,
94:12858,63545,95005,33689,56935,
95:74265,43458,33992,15545,16205,
96:40280,72616,94587,15711,79012,
97:67435,84077,52361,12943,38627,
98:39618,32619,76615,39709,65589,
99:83055,39389,47146,80549,6988,
100:31129,76082,63785,56734,84543,
101:38259,83471,84259,98933,92765,
102:35262,73084,70609,2912,91272,
103:95320,76739,37835,46280,19513,
104:91827,95882,39471,20466,43745,
105:82332,2480,8609,47374,58599,
106:76528,90482,38829,19470,12637,
107:59995,80708,5977,48556,29278,
108:22050,85249,74172,89433,7928,
109:55619,82448,17906,78808,74812,
110:38982,72825,44712,15782,78619,
111:66839,89622,31989,8137,54397,
112:12361,70501,37341,40268,89169,
113:36809,93412,38724,92309,57306,
114:49295,14132,76901,26681,78188,
115:1642,50924,82004,31489,26831,
116:97164,90056,2840,17829,70371,
117:71979,12446,8884,5704,44281,
118:44674,25098,70586,69570,40236,
119:41294,72872,34616,48208,84820,
120:64831,95734,48587,13318,14912,
121:86243,86770,90669,84198,80095,
122:46991,4192,54850,6606,3667,
123:48847,65913,18866,8615,1501,
124:79950,30270,35352,65323,24376,
125:23423,60055,63280,93193,35686,
126:32365,80267,8407,79140,49090,
127:35703,8625,3285,55406,57800,
128:76244,70135,10929,96871,5208,
129:86599,24877,59058,6431,84155,
130:29670,90655,43974,46409,96380,
131:93560,80552,44618,94244,15740,
132:1534,91784,29021,42701,76081,
133:49493,46672,78776,46808,57530,
134:19320,3518,37523,46007,92359,
135:31593,97264,36937,22536,7196,
136:37444,25519,31373,83081,40943,
137:97990,64311,24905,93770,62624,
138:51194,22135,89484,57233,49669,
139:88359,3106,91331,59624,74330,
140:99700,91865,93598,40151,68892,
141:48742,82547,35416,88418,42,
142:3234,44415,93277,62116,40028,
143:33072,61791,98209,9259,17338,
144:5775,92048,54584,41787,67751,
145:11275,20656,71952,914,7738,
146:7512,51362,86063,64269,77380,
147:6962,37409,43486,74377,31733,
148:50088,83976,52844,64928,44190,
149:62098,73204,94970,20098,56429,
150:4868,60449,79826,16742,69809,
151:37235,47982,50759,6630,74415,
152:68239,61246,16784,72267,74212,
153:27852,3114,47740,56876,1301,
154:82468,6340,25713,70750,76464,
155:86688,77662,4216,20378,37719,
156:18156,95368,63932,69391,98490,
157:39634,18538,56660,8064,75832,
158:9239,43273,54270,93974,82128,
159:86240,51240,82647,35426,28988,
160:69466,57670,34714,35999,91157,
161:98416,97405,45007,50633,8509,
162:26529,57562,91421,86656,61877,
163:12094,44122,71715,9323,83277,
164:22137,26731,10842,33954,27218,
165:78157,39781,95801,33521,37934,
166:69480,72134,50269,24756,89070,
167:58987,934,43410,34570,96103,
168:76235,49721,8736,1465,40747,
169:80193,32418,55754,64193,92565,
170:64629,38727,18476,37864,35778,
171:21592,50897,70386,90324,70306,
172:18432,89641,97623,14248,22103,
173:52140,42960,48082,14708,32219,
174:93345,22945,61313,75138,27630,
175:29113,26531,85452,60556,94137,
176:10532,2205,19132,63968,39556,
177:69067,61187,13982,15044,38558,
178:16164,6475,87256,37822,79588,
179:90674,82467,35546,34041,23972,
180:48830,40457,55957,13243,71688,
181:2555,1503,16709,77439,73471,
182:76898,2967,97094,5443,60081,
183:58207,1015,28891,68441,12054,
184:47104,51800,60700,18928,7447,
185:58387,8496,8940,95099,73388,
186:43491,56306,19036,45672,21410,
187:26932,85889,96199,96999,49686,
188:16958,49368,14083,96234,7625,
189:1110,77452,37364,3663,90572,
190:94635,89618,97201,55918,35797,
191:8057,70278,73741,28055,2709,
192:10304,19400,44474,4885,63896,
193:39145,37317,41214,9372,61310,
194:24490,81024,68519,7087,72767,
195:35486,36007,41247,87430,26483,
196:29791,76288,72573,60148,9665,
197:27908,63765,37478,4724,33677,
198:9738,85854,92271,31480,31088,
199:91075,40494,28114,504,15133,
200:71490,49537,12857,3988,37483,
201:55971,30751,23321,77899,28827,
202:58563,78596,12751,87835,69505,
203:47834,66283,28949,31567,51311,
204:59678,84159,47088,78155,16884,
205:88206,45277,65941,74576,43572,
206:91382,43865,65181,78664,66639,
207:14576,25520,93192,55393,93611,
208:64968,29143,3156,60365,84162,
209:44392,42280,73279,83379,7246,
210:55433,62072,6417,17085,52359,
211:51048,15208,28513,48416,49269,
